,Clinical Trial Drug Name,DrugBank Drug Name,Match Score,First Approval Date,Highest Development Phase
93,lixivaptan,lixivaptan,100.0,,3.0
94,bortezomib,bortezomib,100.0,2003.0,4.0
95,cyclophosphamide,cyclophosphamide,100.0,1959.0,4.0
97,dexamethasone,dexamethasone,100.0,,2.0
107,everolimus,everolimus,100.0,2009.0,4.0
108,gefitinib,gefitinib,100.0,2003.0,4.0
109,saracatinib,saracatinib,100.0,,
111,cobimetinib,cobimetinib,100.0,,
113,sodium cridanimod,cridanimod,100.0,,2.0
114,niclosamide,niclosamide,100.0,1982.0,4.0
116,tetracaine hcl  and oxymetazoline hcl,tetracaine,100.0,2016.0,4.0
118,celecoxib,celecoxib,100.0,1998.0,4.0
120,filgrastim,filgrastim,100.0,1991.0,4.0
123,cyclosporine,cyclosporine,100.0,,
125,etoposide,etoposide,100.0,1996.0,4.0
126,fludarabine phosphate,fludarabine,100.0,1991.0,4.0
127,prednisone,prednisone,100.0,,
128,vincristine sulfate,vincristine,100.0,1963.0,4.0
132,methoxyamine,methoxyamine,100.0,,1.0
137,triamcinolone,triamcinolone,100.0,1959.0,4.0
138,ranibizumab,ranibizumab,100.0,2006.0,4.0
139,centanafadine,centanafadine,100.0,,3.0
142,fulvestrant,fulvestrant,100.0,,
144,acalabrutinib,acalabrutinib,100.0,,
145,venetoclax,venetoclax,100.0,,
146,obinutuzumab,obinutuzumab,100.0,2013.0,4.0
147,solithromycin,solithromycin,100.0,,3.0
148,ceftriaxone,ceftriaxone,100.0,,
149,azithromycin,azithromycin,100.0,,
150,colesevelam,colesevelam,100.0,2000.0,4.0
151,clonidine,clonidine,100.0,1974.0,4.0
152,finerenone (bay94-8862),finerenone,100.0,2021.0,4.0
154,sunitinib malate,sunitinib,100.0,,
157,"cp-778,875",cp-778875,94.73684210526316,,2.0
158,pegfilgrastim,pegfilgrastim,100.0,2002.0,4.0
159,escitalopram,escitalopram,100.0,2002.0,4.0
160,ribavirin,ribavirin,100.0,1985.0,4.0
161,leucovorin calcium,leucovorin,100.0,1952.0,4.0
162,tegafur-uracil,tegafur-uracil,100.0,,
163,carboplatin,carboplatin,100.0,1989.0,4.0
164,paclitaxel,paclitaxel,100.0,,
165,trametinib,trametinib,100.0,2013.0,4.0
168,ciclesonide hfa nasal aerosol,ciclesonide,100.0,2006.0,4.0
172,ibrutinib,ibrutinib,100.0,2013.0,4.0
174,g100,g100,100.0,,
176,bazedoxifene and conjugated estrogens,bazedoxifene,100.0,2009.0,4.0
177,levosimendan,levosimendan,100.0,,3.0
178,ridaforolimus,ridaforolimus,100.0,,3.0
180,basiliximab,basiliximab,100.0,1998.0,4.0
181,apraglutide,apraglutide,100.0,,3.0
182,triheptanoin,triheptanoin,100.0,2020.0,4.0
183,nasal irrigation - xylitol,xylitol,100.0,,3.0
184,bms-986020,bms-986020,100.0,,
185,alisertib,alisertib,100.0,,-1.0
186,daunorubicin,daunorubicin,100.0,1996.0,4.0
188,mercaptopurine,mercaptopurine,100.0,1953.0,4.0
189,methotrexate,methotrexate,100.0,,
190,pegaspargase,pegaspargase,100.0,1994.0,4.0
191,thioguanine,tioguanine,95.23809523809523,1966.0,4.0
192,riociguat (adempas,riociguat,100.0,2013.0,4.0
195,teduglutide,teduglutide,100.0,2012.0,4.0
198,alectinib,alectinib,100.0,2015.0,4.0
199,esomeprazole,esomeprazole,100.0,2001.0,4.0
200,inhaled iloprost 5.,iloprost,100.0,2003.0,4.0
202,atezolizumab,atezolizumab,100.0,2016.0,4.0
203,enzastaurin hydrochloride,enzastaurin,100.0,,3.0
205,quizartinib,quizartinib,100.0,2023.0,4.0
207,rivastigmine transdermal patch,rivastigmine,100.0,1998.0,4.0
215,flovent fluticasone hfa,fluticasone,100.0,2007.0,4.0
217,nalmefene,nalmefene,100.0,1995.0,4.0
219,tenofovir disoproxil fumarate (tenofovir df; tdf),tenofovir,100.0,,-1.0
221,entecavir (etv),entecavir,100.0,2005.0,4.0
222,ketamine,ketamine,100.0,1970.0,4.0
226,rigosertib sodium,rigosertib,100.0,,3.0
228,daclatasvir,daclatasvir,100.0,2014.0,4.0
229,asunaprevir,asunaprevir,100.0,,
231,dextromethorphan,dextromethorphan,100.0,1982.0,4.0
233,olaratumab,olaratumab,100.0,2016.0,4.0
235,tirzepatide,tirzepatide,100.0,2022.0,4.0
236,epacadostat,epacadostat,100.0,,3.0
237,lasmiditan,lasmiditan,100.0,2020.0,4.0
238,erythropoietin,erythropoietin,100.0,2007.0,4.0
239,glutamine and fish oil supplementation,l-glutamine,90.0,,3.0
240,ext608,ext608,100.0,,
241,minocycline,minocycline,100.0,1971.0,4.0
242,mecamylamine,mecamylamine,100.0,1956.0,4.0
243,varenicline,varenicline,100.0,2006.0,4.0
244,7-hydroxystaurosporine (ucn-01),7-hydroxystaurosporine,100.0,,
248,hydrocodone er,hydrocodone,100.0,1943.0,4.0
251,0. ethinyl estradiol),estradiol,94.73684210526316,2010.0,4.0
253,captopril pill,captopril,100.0,,
254,enalapril pill,enalapril,100.0,1985.0,4.0
255,hydrochlorothiazide,hydrochlorothiazide,100.0,1959.0,4.0
257,mitoxantrone hydrochloride,mitoxantrone,100.0,1987.0,4.0
258,selinexor,selinexor,100.0,2019.0,4.0
263,novel ibuprofen,ibuprofen,100.0,1974.0,4.0
264,acetaminophen,acetaminophen,100.0,,
272,verapamil and magnesium sulfate,verapamil,100.0,1981.0,4.0
273,tofacitinib,tofacitinib,100.0,2012.0,4.0
276,lisdexamfetamine dimesylate,lisdexamfetamine,100.0,2007.0,4.0
278,melphalan,melphalan,100.0,1992.0,4.0
279,sirolimus,sirolimus,100.0,,
280,tacrolimus,tacrolimus,100.0,1994.0,4.0
281,receiving 0. it morphine,morphine,100.0,1984.0,4.0
283,rivogenlecleucel,rivogenlecleucel,100.0,,2.0
284,rimiducid,rimiducid,100.0,,2.0
287,bakuchiol,bakuchiol,100.0,,1.0
291,simufilam,simufilam,100.0,,3.0
295,lapaquistat acetate,lapaquistat,100.0,,3.0
298,n-acetylcysteine active and silibin active,acetylcysteine,93.33333333333333,,
304,metronidazole topical gel,metronidazole,100.0,1980.0,4.0
314,creatine monohydrate,creatine,100.0,,3.0
317,becatecarin,becatecarin,100.0,,3.0
320,temsirolimus plus liposomal doxorubicin,temsirolimus,100.0,2007.0,4.0
323,aldesleukin,aldesleukin,100.0,1992.0,4.0
325,maribavir,maribavir,100.0,2021.0,4.0
327,dasatinib,dasatinib,100.0,2006.0,4.0
328,imatinib mesylate,imatinib,100.0,2001.0,4.0
329,nilotinib,nilotinib,100.0,2007.0,4.0
330,ruxolitinib,ruxolitinib,100.0,2011.0,4.0
335,meloxicam,meloxicam,100.0,2000.0,4.0
336,sorafenib tosylate,sorafenib,100.0,2005.0,4.0
337,metoclopramide nasal spray,metoclopramide,100.0,1979.0,4.0
339,anastrozole,anastrozole,100.0,1995.0,4.0
342,selenium,selenium,100.0,1951.0,4.0
348,crofelemer  [mytesi],crofelemer,100.0,2012.0,4.0
350,donepezil,donepezil,100.0,1996.0,4.0
354,lmb-100,lmb-100,100.0,,2.0
358,abatacept,abatacept,100.0,2006.0,4.0
359,brexpiprazole,brexpiprazole,100.0,2015.0,4.0
362,methylprednisolone,methylprednisolone,100.0,,4.0
372,ramucirumab,ramucirumab,100.0,2014.0,4.0
374,rosuvastatin,rosuvastatin,100.0,2003.0,4.0
375,afatinib,afatinib,100.0,2013.0,4.0
379,low-dose progesterone,progesterone,100.0,1976.0,4.0
383,exemestane,exemestane,100.0,1999.0,4.0
384,imipramine,imipramine,100.0,1959.0,4.0
388,ebselen,ebselen,100.0,,3.0
389,ketoprofen topical patch,ketoprofen,100.0,1986.0,4.0
391,infliximab (intravitreal,infliximab,100.0,1998.0,4.0
394,irinotecan,irinotecan,100.0,1996.0,4.0
395,bevacizumab,bevacizumab,100.0,2004.0,4.0
396,abiraterone acetate,abiraterone,100.0,2011.0,4.0
398,metformin,metformin,100.0,1995.0,4.0
399,ketorolac,ketorolac,100.0,1989.0,4.0
401,heparin,heparin,100.0,2023.0,4.0
402,topotecan and pegylated doxorubicin,topotecan,100.0,,
403,amifostine trihydrate,amifostine,100.0,1995.0,4.0
406,enzalutamide,enzalutamide,100.0,2012.0,4.0
407,ribociclib,ribociclib,100.0,2017.0,4.0
408,ambrisentan,ambrisentan,100.0,2007.0,4.0
410,palbociclib,palbociclib,100.0,2015.0,4.0
411,dacarbazine,dacarbazine,100.0,1975.0,4.0
412,spesolimab,spesolimab,100.0,2022.0,4.0
414,bavituximab,bavituximab,100.0,,3.0
418,nirmatrelvir,nirmatrelvir,100.0,,
419,ritonavir,ritonavir,100.0,,
423,resveratrol,resveratrol,100.0,,3.0
426,febuxostat,febuxostat,100.0,2009.0,4.0
428,cannabidiol,cannabidiol,100.0,,
429,citalopram,citalopram,100.0,1998.0,4.0
432,atx-101 (/cm^2),atx-101,100.0,,1.0
435,oxycodone,oxycodone,100.0,1950.0,4.0
437,part a elamipretide  ophthalmic solution,elamipretide,100.0,,3.0
440,bfh772  ointment,bfh772,100.0,,2.0
455,misoprostol,misoprostol,100.0,,
456,mifepristone,mifepristone,100.0,,
457,doxycycline,doxycycline,100.0,1967.0,4.0
459,ketoconazole,ketoconazole,100.0,,
460,copanlisib hydrochloride,copanlisib,100.0,2017.0,4.0
461,olaparib,olaparib,100.0,2014.0,4.0
464,belinostat,belinostat,100.0,2014.0,4.0
465,isotretinoin,isotretinoin,100.0,,-1.0
466,anifrolumab,anifrolumab,100.0,2021.0,4.0
467,atorvastatin,atorvastatin,100.0,,
469,exenatide (bydureon®),exenatide,100.0,,
475,sitagliptin,sitagliptin,100.0,2006.0,4.0
476,brimonidine tartrate ophthalmic suspension,brimonidine,100.0,,
481,syntocinon (synthetic oxytocin),oxytocin,94.11764705882352,,
485,letrozole,letrozole,100.0,1997.0,4.0
486,cabazitaxel,cabazitaxel,100.0,2010.0,4.0
489,adapalene gel,adapalene,100.0,1996.0,4.0
490,sisunatovir,sisunatovir,100.0,,1.0
492,rad140,rad-140,92.3076923076923,,2.0
494,difelikefalin 0.,difelikefalin,100.0,2021.0,4.0
498,methadone,methadone,100.0,1947.0,4.0
499,buprenorphine,buprenorphine,100.0,1981.0,4.0
500,gabapentin,gabapentin,100.0,2011.0,4.0
501,talazoparib,talazoparib,100.0,2018.0,4.0
502,ganaxolone,ganaxolone,100.0,2022.0,4.0
505,silodosin,silodosin,100.0,2008.0,4.0
506,remeron (mirtazapine),mirtazapine,91.66666666666666,1996.0,4.0
511,emtricitabine,emtricitabine,100.0,2003.0,4.0
516,itraconazole,itraconazole,100.0,,
517,midazolam,midazolam,100.0,1985.0,4.0
518,miravirsen,miravirsen,100.0,,2.0
530,enbrel (etanercept),etanercept,90.9090909090909,1998.0,4.0
531,dinaciclib,dinaciclib,100.0,,3.0
532,albuterol mdpi,albuterol,100.0,1982.0,4.0
533,[f-18] vm4-037,vm4-037,100.0,,
534,soblidotin,soblidotin,100.0,,2.0
539,onartuzumab,onartuzumab,100.0,,3.0
540,vemurafenib,vemurafenib,100.0,2011.0,4.0
541,sab-185,sab-185,100.0,,2.0
542,flibanserin,flibanserin,100.0,2015.0,4.0
546,dabrafenib,dabrafenib,100.0,2013.0,4.0
548,tramadol hcl,tramadol,100.0,,
550,dobutamine,dobutamine,100.0,1978.0,4.0
551,nicotine patch,nicotine,100.0,,2.0
556,ivermectin cream,ivermectin,100.0,,
564,rg2417,rg2417,100.0,,
568,omeprazole,omeprazole,100.0,,-1.0
573,rotigotine,rotigotine,100.0,,
576,onvansertib,onvansertib,100.0,,1.0
582,zanzalintinib,zanzalintinib,100.0,,3.0
586,dzd1516 in combination with trastuzumab and/or capecitabine in part b,trastuzumab,100.0,1998.0,4.0
591,tissue plasminogen activator (activase®),plasminogen,100.0,,3.0
593,clarithromycin,clarithromycin,100.0,,
596,sertaconazole nitrate cream,sertaconazole,100.0,2003.0,4.0
597,lesinurad,lesinurad,100.0,2015.0,4.0
598,allopurinol,allopurinol,100.0,1966.0,4.0
599,pf-04191834,pf-4191834,95.23809523809523,,2.0
600,naproxen,naproxen,100.0,,
601,fostamatinib  bid,fostamatinib,100.0,2018.0,4.0
603,diphenhydramine,diphenhydramine,100.0,2005.0,4.0
606,insulin aspart,inulin,92.3076923076923,,4.0
609,singulair (montelukast sodium),montelukast,95.65217391304348,1998.0,4.0
610,gilteritinib,gilteritinib,100.0,2018.0,4.0
611,voriconazole,voriconazole,100.0,2002.0,4.0
612,cephalexin,cephalexin,100.0,1987.0,4.0
613,glucagon,glucagon,100.0,1960.0,4.0
615,hydromorphone,hydromorphone,100.0,1984.0,4.0
618,empagliflozin,empagliflozin,100.0,2014.0,4.0
621,necitumumab,necitumumab,100.0,2015.0,4.0
625,levitra (vardenafil,vardenafil,95.23809523809523,2003.0,4.0
627,modafinil,modafinil,100.0,1998.0,4.0
629,dronabinol,dronabinol,100.0,1985.0,4.0
631,evolocumab,evolocumab,100.0,2015.0,4.0
635,solifenacin,solifenacin,100.0,2004.0,4.0
636,naltrexone,naltrexone,100.0,1984.0,4.0
638,isuzinaxib (apx-115),isuzinaxib,100.0,,2.0
642,fentanyl,fentanyl,100.0,2006.0,4.0
643,bupivacaine hydrochloride,bupivacaine,100.0,1972.0,4.0
644,lidocaine hcl,lidocaine,100.0,1948.0,4.0
648,senna+ docusate,docusate,100.0,,4.0
652,rrx-001,rrx-001,100.0,,3.0
654,doxazosin mesylate,doxazosin,100.0,1990.0,4.0
657,risperidone,risperidone,100.0,1993.0,4.0
658,lanabecestat,lanabecestat,100.0,,3.0
659,ezetimibe,ezetimibe,100.0,2002.0,4.0
662,nyx-2925,nyx-2925,100.0,,2.0
663,formoterol fumarate,formoterol,100.0,2001.0,4.0
664,omalizumab,omalizumab,100.0,2003.0,4.0
665,roflumilast cream,roflumilast,100.0,2010.0,4.0
667,repository corticotropin injection,corticotropin,100.0,1950.0,4.0
670,gadolinium,gadolinium,100.0,,3.0
671,nm-3,nm-3,100.0,,
672,usb005 (aclerastide) ophthalmic solution,aclerastide,91.66666666666666,,3.0
673,sodium nitroprusside,nitroprusside,100.0,1981.0,4.0
674,nepicastat,nepicastat,100.0,,2.0
675,psilocybin,psilocybin,100.0,,3.0
677,durvalumab,durvalumab,100.0,2017.0,4.0
678,tremelimumab,tremelimumab,100.0,2022.0,4.0
679,bupropion,bupropion,100.0,2008.0,4.0
683,avelumab,avelumab,100.0,2017.0,4.0
684,azacitidine,azacitidine,100.0,2004.0,4.0
686,glasdegib,glasdegib,100.0,2018.0,4.0
688,valacyclovir hydrochloride,valaciclovir,91.66666666666666,1995.0,4.0
690,simtuzumab,simtuzumab,100.0,,2.0
693,tigecycline,tigecycline,100.0,2005.0,4.0
694,imipenem,imipenem,100.0,1985.0,4.0
695,cilastatin,cilastatin,100.0,1985.0,4.0
700,dapagliflozin  tab,dapagliflozin,100.0,2012.0,4.0
702,povidone-iodine,povidone-iodine,100.0,1985.0,4.0
707,recombinant human hyaluronidase ph20,hyaluronidase,100.0,2004.0,4.0
710,somatropin (rdna origin) for injection,somatotropin,90.9090909090909,,2.0
711,ixazomib oral capsule,ixazomib,100.0,2015.0,4.0
712,amt-101 (oral),amt-101,100.0,,
715,levetiracetam 62.,levetiracetam,100.0,1999.0,4.0
717,ritlecitinib,ritlecitinib,100.0,2023.0,4.0
719,zileuton,zileuton,100.0,1996.0,4.0
720,stabilized isoamyl nitrite (sian),nitrite,100.0,2011.0,4.0
728,topical dermacyn and levofloxacin,levofloxacin,100.0,1996.0,4.0
745,xenin-25 without atropine,atropine,100.0,,
751,adalimumab,adalimumab,100.0,2002.0,4.0
752,etrolizumab,etrolizumab,100.0,,3.0
753,lofexidine,lofexidine,100.0,2018.0,4.0
754,cefixime,cefixime,100.0,1989.0,4.0
759,rifaximin,rifaximin,100.0,2004.0,4.0
762,latanoprost,latanoprost,100.0,1996.0,4.0
763,chlorthalidone,chlorthalidone,100.0,1960.0,4.0
764,dalteparin,dalteparin,100.0,1994.0,4.0
772,valganciclovir [valcyte],valganciclovir,100.0,2001.0,4.0
777,leptin,leptin,100.0,2014.0,4.0
782,nafamostat mesylate,nafamostat,100.0,,3.0
784,hydroxyurea,hydroxyurea,100.0,1967.0,4.0
786,icosapent ethyl,icosapent,100.0,2012.0,4.0
787,gw679769 (casopitant) oral tablets,casopitant,90.9090909090909,,3.0
788,rifampin oral capsules,rifampin,100.0,1971.0,4.0
790,vortioxetine (lu aa21004),vortioxetine,100.0,2013.0,4.0
791,duloxetine,duloxetine,100.0,2004.0,4.0
793,aceclidine,aceclidine,100.0,,
794,tadalafil,tadalafil,100.0,,
798,ferumoxytol non-stoichiometric magnetite,ferumoxytol,100.0,2009.0,4.0
804,chlorhexidine mouthrinse,chlorhexidine,100.0,,
807,liothyronine sodium,liothyronine,100.0,1956.0,4.0
809,interleukin-2 sa,interleukin-7,92.3076923076923,,2.0
813,toripalimab,toripalimab,100.0,2023.0,4.0
814,rucaparib,rucaparib,100.0,2016.0,4.0
816,thiamine hydrochloride,thiamine,100.0,1985.0,4.0
818,ofatumumab and bortezomib,ofatumumab,100.0,2009.0,4.0
821,maraviroc,maraviroc,100.0,2007.0,4.0
828,bimatoprost ophthalmic,bimatoprost,100.0,,
829,ziprasidone,ziprasidone,100.0,2001.0,4.0
830,das181,das-181,92.3076923076923,,3.0
832,ropivacaine hcl,ropivacaine,100.0,1996.0,4.0
833,bms-986156,bms-986115,90.0,,1.0
839,paricalcitol,paricalcitol,100.0,1998.0,4.0
842,seladelpar 5-,seladelpar,100.0,,-1.0
849,ubiquinol,ubiquinol,100.0,,
850,l-citrulline,citrulline,90.9090909090909,,3.0
852,galeterone,galeterone,100.0,,3.0
856,rifabutin,rifabutin,100.0,1992.0,4.0
858,bj-001,bj-001,100.0,,
859,valrubicin,valrubicin,100.0,1998.0,4.0
860,sep-363856,sep-363856,100.0,,3.0
864,cd5789 (trifarotene),trifarotene,91.66666666666666,2019.0,4.0
865,rapastinel (formerly glyx-13),rapastinel,100.0,,3.0
866,rebimastat,rebimastat,100.0,,
868,rabeprazole,rabeprazole,100.0,1999.0,4.0
872,eplerenone,eplerenone,100.0,2002.0,4.0
876,flortaucipir f18,flortaucipir,100.0,2020.0,4.0
879,riboflavin,riboflavin,100.0,1993.0,4.0
881,n-acetyl cysteine,cysteine,100.0,1986.0,4.0
882,xl281,xl281,100.0,,2.0
883,famotidine,famotidine,100.0,1986.0,4.0
886,prexasertib,prexasertib,100.0,,2.0
887,ralimetinib,ralimetinib,100.0,,2.0
888,dupilumab,dupilumab,100.0,2017.0,4.0
894,linsitinib,linsitinib,100.0,,3.0
895,paroxetine,paroxetine,100.0,1992.0,4.0
896,desipramine,desipramine,100.0,1964.0,4.0
899,clopidogrel,clopidogrel,100.0,1997.0,4.0
900,ticagrelor,ticagrelor,100.0,,
902,letermovir pill,letermovir,100.0,2017.0,4.0
906,krn330,krn-330,92.3076923076923,,1.0
908,daratumumab,daratumumab,100.0,2015.0,4.0
911,nesiritide,nesiritide,100.0,2001.0,4.0
913,apixaban,apixaban,100.0,2011.0,4.0
917,alemtuzumab,alemtuzumab,100.0,2001.0,4.0
919,thalidomide,thalidomide,100.0,,
921,anecortave acetate,anecortave,100.0,,
924,bryostatin 1,bryostatin 1,90.9090909090909,,2.0
927,ph-797804,ph-797804,100.0,,2.0
929,remifentanil,remifentanil,100.0,1996.0,4.0
930,capsaicin,capsaicin,100.0,2009.0,4.0
931,ixekizumab,ixekizumab,100.0,2016.0,4.0
932,pf-07038124 and vehicle,pf-07038124,100.0,,
944,nesvacumab (regn910/ sar307746),nesvacumab,100.0,,2.0
946,ocrelizumab dose 1,ocrelizumab,100.0,2017.0,4.0
949,estramustine,estramustine,100.0,,3.0
952,arimoclomol,arimoclomol,100.0,,3.0
953,mebendazole,mebendazole,100.0,1974.0,4.0
954,darapladib,darapladib,100.0,,3.0
955,tas-106,tas-106,100.0,,2.0
956,mannitol,mannitol,100.0,2012.0,4.0
958,imiquimod,imiquimod,100.0,1997.0,4.0
963,laf237 = vildagliptin,vildagliptin,100.0,2007.0,4.0
965,fresolimumab,fresolimumab,100.0,,2.0
966,ipatasertib,ipatasertib,100.0,,
968,selumetinib,selumetinib,100.0,2020.0,4.0
970,rilzabrutinib,rilzabrutinib,100.0,,3.0
972,lazertinib,lazertinib,100.0,,3.0
974,tafenoquine control,tafenoquine,100.0,2018.0,4.0
979,bms-986278,bms-986278,100.0,,2.0
980,pirfenidone,pirfenidone,100.0,2011.0,4.0
981,eculizumab,eculizumab,100.0,2007.0,4.0
983,eribulin,eribulin,100.0,2010.0,4.0
984,balixafortide,balixafortide,100.0,,3.0
987,hydrocortisone,hydrocortisone,100.0,2018.0,2.0
989,mazindol extended release,mazindol,100.0,1973.0,4.0
999,baclofen,baclofen,100.0,,
1003,floxuridine,floxuridine,100.0,,
1004,vancomycin,vancomycin,100.0,1964.0,4.0
1009,eszopiclone,eszopiclone,100.0,2004.0,4.0
1011,cabozantinib,cabozantinib,100.0,2012.0,4.0
1015,vinorelbine tartrate,vinorelbine,100.0,1994.0,4.0
1016,vasopressin,vasopressin,100.0,1982.0,4.0
1018,gsk2110183 (afuresertib),afuresertib,91.66666666666666,,-1.0
1019,sargramostim,sargramostim,100.0,1991.0,4.0
1022,glycopyrronium topical wipes,glycopyrronium,100.0,1961.0,4.0
1023,lumicitabine,lumicitabine,100.0,,
1024,fontolizumab,fontolizumab,100.0,,2.0
1025,belatacept,belatacept,100.0,2011.0,4.0
1028,mln-518 (tandutinib),tandutinib,90.9090909090909,,
1029,platelet rich fibrin matrix,fibrin,100.0,,3.0
1031,nelfinavir mesylate,nelfinavir,100.0,,
1032,nitroglycerin  (mxq-503),nitroglycerin,100.0,1981.0,4.0
1039,cerdulatinib  gel,cerdulatinib,100.0,,2.0
1045,azd7442 (tixagevimab [azd8895] + cilgavimab [azd1061]),azd7442,100.0,,
1046,hld200 (methylphenidate hydrochloride),methylphenidate,96.7741935483871,1955.0,4.0
1047,brodalumab,brodalumab,100.0,2017.0,4.0
1050,droperidol injectable product,droperidol,100.0,1970.0,4.0
1051,e-we thrombin- dose 1,thrombin,94.11764705882352,,4.0
1062,vafidemstat,vafidemstat,100.0,,2.0
1063,memantine,memantine,100.0,2003.0,4.0
1065,iloperidone,iloperidone,100.0,2009.0,4.0
1068,vis410 low dose,vis-410,92.3076923076923,,2.0
1072,pf-00489791,pf-00489791,100.0,,2.0
1077,pertuzumab,pertuzumab,100.0,2012.0,4.0
1078,hyperbaric oxygen,oxygen,100.0,2006.0,4.0
1080,[18f] flutemetamol,flutemetamol,100.0,2013.0,4.0
1081,azd2066,azd2066,100.0,,2.0
1082,lacosamide,lacosamide,100.0,2008.0,4.0
1084,ivosidenib,ivosidenib,100.0,2018.0,4.0
1095,inotuzumab ozogamicin,lintuzumab,90.0,,3.0
1096,tozadenant (syn115)  bid,tozadenant,100.0,,3.0
1097,levodopa (l-dopa),levodopa,100.0,1970.0,4.0
1102,eltrombopag,eltrombopag,100.0,2008.0,4.0
1107,sotagliflozin,sotagliflozin,100.0,2019.0,4.0
1109,hyperpolarized xenon gas,xenon,100.0,1982.0,4.0
1111,cortexolone 17α-propionate,clorexolone,90.9090909090909,,2.0
1114,lenabasum,lenabasum,100.0,,3.0
1116,clindamycin,clindamycin,100.0,1970.0,4.0
1122,tolebrutinib,tolebrutinib,100.0,,3.0
1123,danicopan,danicopan,100.0,,3.0
1124,sertraline,sertraline,100.0,1991.0,4.0
1128,albiglutide,albiglutide,100.0,2014.0,4.0
1129,liraglutide,liraglutide,100.0,2010.0,4.0
1131,magnesium sulfate,magnesium,100.0,1982.0,4.0
1134,dexmedetomidine,dexmedetomidine,100.0,1999.0,4.0
1136,epirubicin,epirubicin,100.0,1999.0,4.0
1137,istradefylline (kw-6002),istradefylline,100.0,,
1142,aclidinium  / formoterol,aclidinium,100.0,2012.0,4.0
1145,dostarlimab,dostarlimab,100.0,2021.0,4.0
1146,niraparib,niraparib,100.0,2017.0,4.0
1148,ciprofloxacin,ciprofloxacin,100.0,1987.0,4.0
1150,larazotide acetate,larazotide,100.0,,3.0
1153,deutetrabenazine,deutetrabenazine,100.0,2017.0,4.0
1154,melatonin,melatonin,100.0,2022.0,4.0
1161,hydralazine and valproic acid: cohort -1,hydralazine,100.0,1953.0,4.0
1169,pevonedistat,pevonedistat,100.0,,-1.0
1179,estradiol/norethindrone acetate,acetate,100.0,,-1.0
1180,elagolix,elagolix,100.0,2018.0,4.0
1181,surface-controlled water soluble curcumin,water,100.0,2011.0,4.0
1185,candesartan,candesartan,100.0,1998.0,4.0
1186,aq-13,aq-13,100.0,,2.0
1189,jnj-54175446 (capsule),jnj-54175446,100.0,,
1198,ecopipam hydrochloride,ecopipam,100.0,,
1200,ibrexafungerp,ibrexafungerp,100.0,2021.0,4.0
1201,tc 99m tilmanocept,tilmanocept,100.0,2013.0,4.0
